WKT,Name,descriptio,timestamp,begin,end,pop,renda,pois_com,conect_bus,iso_15,ext_ciclo,decliv,area_buf,iso15
"MULTIPOLYGON (((-43.9238208793285 -19.9177414356185,-43.9242695562667 -19.920536285922,-43.9256094810366 -19.9230632101319,-43.9277095228493 -19.9250748388693,-43.9303641179235 -19.9263742377743,-43.9333133903654 -19.9268341932697,-43.9362686004251 -19.9264096725159,-43.938940425332 -19.9251422350539,-43.9410672978912 -19.9231559629483,-43.9424410221011 -19.920645308476,-43.9429271539252 -19.9178560513251,-43.9424781517951 -19.9150612325826,-43.9411380133437 -19.912534424078,-43.9390379509789 -19.9105229509946,-43.9363835363326 -19.909223688238,-43.9334345763808 -19.9087637973812,-43.9304796915132 -19.9091882865741,-43.9278080802878 -19.9104556083308,-43.9256812282805 -19.9124417247823,-43.9243073236428 -19.9149522431063,-43.9238208793285 -19.9177414356185)))",Central,"10",,,,"478",3215.775,116.000,"2344",0.815,0.026,22.84060598,3090169.944,
"MULTIPOLYGON (((-43.9330481493164 -19.9127659449644,-43.9334969800957 -19.9155607803472,-43.9348370172397 -19.9180876412143,-43.9369371189308 -19.9200991643791,-43.9395917155006 -19.9213984258216,-43.9425409308966 -19.9218582254374,-43.945496030958 -19.9214335456677,-43.9481677037027 -19.9201659616376,-43.9502943968594 -19.9181795697671,-43.9516679320132 -19.9156688340507,-43.9521538836461 -19.9128795421122,-43.951704727823 -19.9100847384216,-43.9503644772003 -19.9075579933165,-43.9482643551372 -19.9055466257662,-43.9456099390836 -19.9042475003514,-43.9426610361408 -19.9037877652185,-43.9397062611233 -19.904212413296,-43.9370348018573 -19.9054798815641,-43.9349081290726 -19.9074661178201,-43.9335344134026 -19.9099767175088,-43.9330481493164 -19.9127659449644)))",Lagoinha,"11",,,,"515",2322.315,133.000,"1710",0.581,0.021,21.33201258,3090169.945,
"MULTIPOLYGON (((-43.9469418056158 -19.9177756776341,-43.9473908920118 -19.9205704881776,-43.9487311934587 -19.9230972548925,-43.9508315422456 -19.9251086237844,-43.9534863444789 -19.926407685928,-43.956435703935 -19.9268672607411,-43.959390872325 -19.9264423526985,-43.9620625309756 -19.9251745593032,-43.9641891290165 -19.9231879974932,-43.9655624973811 -19.9206771479046,-43.9660482269175 -19.9178878092943,-43.965598815457 -19.9150930306723,-43.9642583006825 -19.9125663798898,-43.962157931789 -19.910555166659,-43.9595033103499 -19.909256240448,-43.9565542635318 -19.9087967299173,-43.9535994202063 -19.9092216060384,-43.9509279748832 -19.9104892835013,-43.948801396949 -19.9124756896502,-43.9474278477901 -19.9149864033062,-43.9469418056158 -19.9177756776341)))",Carlos Prates,"12",,,,"529",2514.375,45.000,"901",0.971,0.034,21.29077182,3090169.944,
"MULTIPOLYGON (((-43.9607894810883 -19.9224764090209,-43.9612388217959 -19.9252711946782,-43.9625793844904 -19.9277978673242,-43.9646799758665 -19.9298090821488,-43.9673349782466 -19.9311079453012,-43.9702844757764 -19.9315672956921,-43.973239706626 -19.9311421597926,-43.9759113460061 -19.9298741574423,-43.9780378449546 -19.9278874260569,-43.9794110441425 -19.9253764628781,-43.9798965510168 -19.922587077768,-43.9794468852299 -19.9197923242599,-43.9781061093621 -19.9172657677142,-43.976005498144 -19.9152547085947,-43.9733506768319 -19.9139559812779,-43.9704014921185 -19.9134966949688,-43.9674465863482 -19.9139217987191,-43.9647751601413 -19.9151896849691,-43.9626486810348 -19.9171762606495,-43.9612753007789 -19.9196870879926,-43.9607894810883 -19.9224764090209)))",Calafate,"13",,,,"624",2993.908,67.000,"725",1.015,0.016,17.85654000,3090169.943,
"MULTIPOLYGON (((-43.9786500986796 -19.9279493544066,-43.9790997663868 -19.930744107808,-43.9804406615845 -19.9332706587809,-43.9825415583901 -19.9352816743953,-43.98519680918 -19.9365802802934,-43.9881464737345 -19.9370393405857,-43.9911017738433 -19.9366139101775,-43.9937733779362 -19.9353456377781,-43.9958997405349 -19.9333586872681,-43.9972727157054 -19.9308475773457,-43.9977579328727 -19.928058132219,-43.9973079400786 -19.9252634112591,-43.9959668319143 -19.9227369765989,-43.9938659156083 -19.9207261167411,-43.9912108462327 -19.9194276465496,-43.9882614947132 -19.9189686500786,-43.9853065196913 -19.9193940480454,-43.982635128565 -19.9206622041319,-43.9805087854668 -19.9226489988854,-43.9791356288818 -19.9251599731012,-43.9786500986796 -19.9279493544066)))",Gameleira,"14",,,,"474",2549.250,35.000,"517",0.763,0.001,17.97602781,3090169.943,
"MULTIPOLYGON (((-43.9935433938828 -19.9389421265033,-43.993993347111 -19.941736851579,-43.9953345689549 -19.9442633013985,-43.9974358015443 -19.946274152902,-44.0000913643466 -19.9475725477821,-44.0030412865485 -19.9480313708142,-44.005996764676 -19.9476057001567,-44.0086684497144 -19.9463372080732,-44.0107947882751 -19.9443500799798,-44.0121676368174 -19.9418388519716,-44.0126526372129 -19.9390493598069,-44.0122023587662 -19.9362546674327,-44.0108609240487 -19.933728334147,-44.0087596722412 -19.9317176384976,-44.0061042912167 -19.9304193792609,-44.0031546823558 -19.9299606198504,-44.0001995294468 -19.9303862578064,-43.9975280572819 -19.9316546333561,-43.9954017379395 -19.9336416055955,-43.9940287076193 -19.9361526979602,-43.9935433938828 -19.9389421265033)))",Vila Oeste,"15",,,,"517",1267.422,48.000,"353",0.695,0.000,16.18771674,3090169.943,
"MULTIPOLYGON (((-44.0069782588183 -19.9455253322199,-44.0074284632161 -19.9483200321724,-44.008769954297 -19.9508463902246,-44.0108714478181 -19.9528570922741,-44.0135272376689 -19.9541552946349,-44.0164773307697 -19.9546139009388,-44.0194329068877 -19.9541880105859,-44.0221046074085 -19.9529193173773,-44.0242308774459 -19.9509320264416,-44.0256035802029 -19.9484206898227,-44.026088371863 -19.9456311538989,-44.0256378421931 -19.9428364868739,-44.0242961383638 -19.9403102455321,-44.0221946258805 -19.9382996993963,-44.0195390180969 -19.9370016325988,-44.016589238549 -19.9365430897273,-44.0136339877031 -19.9369689471526,-44.0109624999307 -19.9382375236508,-44.0088362488555 -19.9402246586728,-44.0074633640312 -19.9427358597284,-44.0069782588183 -19.9455253322199)))",Cidade Industrial,"16",,,,"537",1367.135,38.000,"364",0.266,0.000,17.17081906,3090169.944,
"MULTIPOLYGON (((-44.0203763469137 -19.9384335708088,-44.0208267745197 -19.9412282481292,-44.0221684289999 -19.943754513431,-44.0242700100753 -19.9457650616793,-44.0269258030275 -19.9470630642512,-44.0298758144551 -19.94752144436,-44.0328312321272 -19.9470953235795,-44.0355027129696 -19.9458264182937,-44.0376287236412 -19.9438389544027,-44.039001152771 -19.9413275008722,-44.039485683345 -19.9385379155,-44.03903493068 -19.9357432712981,-44.0376930637444 -19.9332171227896,-44.0355914639682 -19.9312067303983,-44.0329358532126 -19.9299088632152,-44.0299861552862 -19.9294505463129,-44.0270310626732 -19.929876633975,-44.024359794286 -19.9311454224675,-44.0222338023153 -19.9331327305015,-44.0208611909889 -19.9356440486432,-44.0203763469137 -19.9384335708088)))",Eldorado,"17",,,,"674",1483.259,47.000,"177",0.717,0.000,15.73707452,3090169.945,
"MULTIPOLYGON (((-43.9371815808634 -19.8218354153081,-43.9376303106301 -19.8246302598342,-43.9389697247447 -19.8271570828183,-43.9410687422077 -19.8291685248643,-43.9437218994655 -19.8304676700019,-43.9466694614957 -19.8309273296067,-43.9496228562247 -19.8305024998691,-43.9522929388554 -19.8292347705708,-43.9544183129357 -19.8272482522693,-43.9557909291885 -19.8247374212256,-43.9562764519038 -19.8219480742998,-43.9558273988874 -19.8191532613004,-43.9544877724775 -19.8166265534996,-43.9523887347632 -19.8146152662974,-43.9497357570336 -19.8133162565189,-43.9467885057372 -19.8128566610862,-43.9438354342578 -19.813281459297,-43.9411655639224 -19.814549073412,-43.9390402100933 -19.8165354368698,-43.9376674143124 -19.8190461325543,-43.9371815808634 -19.8218354153081)))",Vilarinho,"18",,,,"541",1339.633,61.000,"625",0.527,0.008,17.41557321,3090169.944,
"MULTIPOLYGON (((-44.032489797667 -19.9303652422759,-44.0329404235671 -19.9331598993393,-44.0342822128306 -19.9356860806059,-44.0363838519444 -19.9376964892574,-44.0390396204753 -19.938994310345,-44.0419895273984 -19.939452484871,-44.0449447707238 -19.9390261545628,-44.0476160244755 -19.9377570563382,-44.0497417775821 -19.9357694349925,-44.0511139439185 -19.9332578748952,-44.0515982322086 -19.9304682442512,-44.0511472814744 -19.9276736204744,-44.049805280041 -19.9251475560648,-44.0477036224631 -19.9231373032049,-44.0450480362266 -19.9218396173368,-44.042098442726 -19.9213815058085,-44.0391435242346 -19.9218078028301,-44.0364724826528 -19.9230767841978,-44.0343467480104 -19.9250642497517,-44.0329743993797 -19.9275756746297,-44.032489797667 -19.9303652422759)))",Novo Eldorado,"19",,,,"688",1587.995,47.000,"111",0.284,0.000,16.12648630,3090169.943,
"MULTIPOLYGON (((-44.0117720422455 -19.9731089575189,-44.0122223868321 -19.9759036436844,-44.0135641683988 -19.9784299709199,-44.0156660743058 -19.9804406281065,-44.0183223580639 -19.981738775916,-44.02127297819 -19.9821973232995,-44.0242290627825 -19.9817713754242,-44.0269012033814 -19.9805026317426,-44.0290278019845 -19.9785153023574,-44.0304006896443 -19.9760039431096,-44.0308855045008 -19.9732144026135,-44.0304348341303 -19.9704197495204,-44.0290928395488 -19.9678935392304,-44.0269909147604 -19.9658830381932,-44.0243348134664 -19.9645850260934,-44.0213845074549 -19.9641265421433,-44.0184287486463 -19.9645524569463,-44.0157568210622 -19.9658210836823,-44.0136302413405 -19.967808256918,-44.0122571712166 -19.9703194804561,-44.0117720422455 -19.9731089575189)))",Barreiro,"25",,,,"626",1586.944,0.000,"253",0.658,0.004,15.66128507,3090169.944,
"MULTIPOLYGON (((-44.0017683579012 -19.9668111518293,-44.0022185123649 -19.969605857062,-44.003560082392 -19.9721322526821,-44.0056617760607 -19.9741430208967,-44.0083178676839 -19.9754413115173,-44.0112683346192 -19.9759000195086,-44.0142243199864 -19.975474234297,-44.0168964250481 -19.9742056393879,-44.0190230552698 -19.9722184303009,-44.020396038582 -19.9697071510937,-44.0208810037286 -19.9669176425524,-44.0204305235483 -19.9641229702201,-44.0190887404303 -19.9615966914045,-44.01698702769 -19.9595860792832,-44.0143311182991 -19.9582879244222,-44.0113809652937 -19.9578292800014,-44.0084253056431 -19.9582550323126,-44.0057534136723 -19.9595235104172,-44.0036268025222 -19.9615105634109,-44.0022536369776 -19.9640217068585,-44.0017683579012 -19.9668111518293)))",Mannesmann,"24",,,,"484",1349.026,0.000,"247",0.417,0.000,17.81681208,3090169.944,
"MULTIPOLYGON (((-44.0037369322363 -19.9555334253687,-44.0041870991333 -19.9583281292157,-44.0055286144359 -19.9608545103712,-44.0076301915549 -19.9628652524662,-44.0102861162059 -19.9641635078828,-44.0132363821049 -19.9646221750451,-44.0161921520799 -19.964196347385,-44.0188640485102 -19.9629277125632,-44.0209904973079 -19.9609404699983,-44.0223633441683 -19.9584291670112,-44.0228482311782 -19.9556396467023,-44.0223977387957 -19.9528449757577,-44.0210560105715 -19.9503187113491,-44.0189544144237 -19.9483081252519,-44.016298671905 -19.9470100054984,-44.013348719731 -19.9465514018456,-44.0103932752416 -19.9469771966032,-44.0077215917328 -19.9482457146781,-44.005595161964 -19.9502328012451,-44.0042221329712 -19.9527439685692,-44.0037369322363 -19.9555334253687)))",Ferrugem,"23",,,,"405",909.531,17.000,"323",0.581,0.053,17.43207698,3090169.943,
"MULTIPOLYGON (((-43.9868701498501 -19.957722248923,-43.9873200219533 -19.9605169823087,-43.9886612793331 -19.9630434795672,-43.9907626606879 -19.9650544129861,-43.9934184709427 -19.9663529162172,-43.9963687150456 -19.9668118634024,-43.9993245579674 -19.9663863205252,-44.0019966149275 -19.9651179473331,-44.0041232960834 -19.9631309176133,-44.0054964243394 -19.9606197578538,-44.005981614203 -19.9578302971595,-44.0055314164775 -19.955035596419,-44.0041899458902 -19.9525092157569,-44.0020885451804 -19.9504984383499,-43.9994329168163 -19.9492000709548,-43.9964829863736 -19.9487411875451,-43.993527469074 -19.9491666977772,-43.9908556253215 -19.9504349543729,-43.9887289635205 -19.9524218280809,-43.9873556533738 -19.9549328520043,-43.9868701498501 -19.957722248923)))",Vista Alegre,"22",,,,"628",1043.698,0.000,"585",0.520,0.049,14.78247962,3090169.942,
"MULTIPOLYGON (((-43.9783409090642 -19.9462579025007,-43.9787906072998 -19.949052653061,-43.9801316377577 -19.9515792078168,-43.9822327613477 -19.9535902334503,-43.9848883082491 -19.9548888546009,-43.9878383092271 -19.9553479338678,-43.9907939530903 -19.954922524291,-43.9934658745683 -19.9536542725468,-43.995592497082 -19.951667340511,-43.9969656492536 -19.9491562450957,-43.9974509432112 -19.9463668091072,-43.9970009195297 -19.94357209103,-43.9956596758747 -19.9410456527088,-43.9935585327703 -19.9390347829874,-43.9909031674912 -19.9377362976731,-43.9879534798985 -19.9372772822821,-43.9849981614812 -19.9377026593758,-43.9823264532004 -19.9389707946854,-43.9801998502009 -19.9409575708091,-43.978826516407 -19.9434685303881,-43.9783409090642 -19.9462579025007)))",Salgadinho,"21",,,,"613",1527.422,3.000,"682",0.371,0.010,15.52591587,3090169.945,
"MULTIPOLYGON (((-43.9746492735485 -19.9321031665065,-43.9750988785476 -19.9348979261678,-43.9764397404439 -19.9374245049208,-43.9785406366305 -19.9394355671174,-43.9811959195557 -19.9407342338354,-43.9841456458563 -19.9411933632224,-43.98710103127 -19.9407680034097,-43.9897727358619 -19.9394997961892,-43.9918992042999 -19.9375128990594,-43.9932722802788 -19.9350018254984,-43.9937575833534 -19.9322123961642,-43.9933076531641 -19.9294176688925,-43.9919665781885 -19.9268912064415,-43.9898656624226 -19.9248803000355,-43.9872105608967 -19.9235817690904,-43.9842611476857 -19.9231227035977,-43.9813060874621 -19.9235480310207,-43.9786345959494 -19.9248161219394,-43.9765081470907 -19.9268028632784,-43.9751348897125 -19.9293138010667,-43.9746492735485 -19.9321031665065)))",Amazonas,"20",,,,"499",2257.984,30.000,"682",0.763,0.010,17.72592137,3090169.945,
